"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Tests","Поиск","Успешный поиск","0","0","1","0","0"
"API Tests","Доступность страниц","About Us","0","0","2","0","0"
"E2E Tests","Отображение футера","Отображение футера","0","0","16","0","0"
"E2E Tests","Smoke","Поиск","0","0","2","0","0"
"API Tests","Доступность страниц","Главная страница","0","0","1","0","0"
"E2E Tests","Поиск","Негативный сценарий","0","0","1","0","0"
"API Tests","Поиск","Негативный сценарий","0","0","1","0","0"
"E2E Tests","Поиск","Успешный поиск","0","0","1","0","0"
"E2E Tests","Smoke","Главная страница","0","0","1","0","0"
